Timestamp,Dask APIs,Interactive or Batch?,Local machine or Cluster?,How often do you use Dask?,What Dask resources have you used for support in the last six months?,Which would help you most right now?,Is Dask stable enough for you?,What common feature requests do you care about most?  [Better Numpy/Pandas support],What common feature requests do you care about most?  [Better Scikit-Learn/ML support],What common feature requests do you care about most?  [Integrate with Deep Learning Frameworks],What common feature requests do you care about most?  [Support for new libraries in my field],What common feature requests do you care about most?  [Improve Scaling ],What common feature requests do you care about most?  [Dashboard / Diagnostics],What common feature requests do you care about most?  [Ease of deployment],What common feature requests do you care about most?  [Cloud integration],What common feature requests do you care about most?  [Managing many users],What common feature requests do you care about most?  [GPUs],Python 2 or 3?,"If you use a cluster, how do you launch Dask? ",Preferred Cloud?,What are some other libraries that you often use with Dask?,How easy is it for you to upgrade to newer versions of Python libraries,Do you use Dask as part of a larger group?
2019-06-25 11:23:30,Array;DataFrame;Delayed;Futures;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation,Occasionally,Documentation;Tutorial;Examples at examples.dask.org;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),More examples in my field,Yes,Critical to me,Somewhat useful,Critical to me,,,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,3.0,Kubernetes;My workplace has a custom solution for this,Amazon Web Services (AWS);Google Cloud Platform (GCP),"Opencv, scikit-image, scikit-learn",3.0,My team or research group also use Dask
2019-06-25 11:27:22,Delayed;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Occasionally,Documentation;Stack Overflow #Dask tag,More examples in my field,Yes,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,3.0,SSH,,xarray,4.0,I use Dask mostly on my own
2019-06-25 11:27:48,Array;DataFrame;Xarray;zarr,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),Bug fixes,Yes,Critical to me,Critical to me,Not relevant for me,Critical to me,Critical to me,Critical to me,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,3.0,SSH,Amazon Web Services (AWS);Microsoft Azure,zarr xarray,3.0,I use Dask mostly on my own
2019-06-25 11:45:39,Bag;DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation,Occasionally,Documentation,New features,Yes,Critical to me,Somewhat useful,Critical to me,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,3.0,SSH;Kubernetes,Microsoft Azure,"regex, pyarrow, pandas, pytorch ",2.0,My team or research group also use Dask
2019-06-25 11:59:25,Delayed;Futures;Xarray,Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines,"I use Dask all the time, even when I sleep",Documentation;Stack Overflow #Dask tag;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),Performance improvements,Yes,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,3.0,Kubernetes;My workplace has a custom solution for this,,,3.0,My team or research group also use Dask
2019-06-25 12:08:19,Array;Bag;DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Cluster of 2-10 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial,New features,Yes,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,3.0,Kubernetes,Google Cloud Platform (GCP),TensorFlow,4.0,I use Dask mostly on my own
2019-06-25 12:11:08,Array;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster with 100+ machines,Every day,Documentation,More examples in my field,Yes,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,,,Not relevant for me,Not relevant for me,Somewhat useful,3.0,"HPC resource manager (SLURM, PBS, SGE, LSF or similar)",,xarray,4.0,I use Dask mostly on my own
2019-06-25 12:23:20,DataFrame;Delayed;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation,Occasionally,Documentation;Tutorial,Performance improvements,Yes,Critical to me,Critical to me,Not relevant for me,Critical to me,Critical to me,Somewhat useful,Critical to me,Critical to me,Not relevant for me,Not relevant for me,3.0,Kubernetes;Hadoop / Yarn / EMR,Amazon Web Services (AWS);Google Cloud Platform (GCP),,4.0,My team or research group also use Dask
2019-06-25 12:30:16,Array;DataFrame;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation;Cluster with 100+ machines,Occasionally,Documentation;Stack Overflow #Dask tag;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),,Yes,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Critical to me,Critical to me,Not relevant for me,Critical to me,3.0,"HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Amazon Web Services (AWS);Microsoft Azure,"numpy, pandas, custom libraries",4.0,I use Dask mostly on my own
2019-06-25 12:47:08,Array;DataFrame;Delayed;ML;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Cluster with 10-100 machines,Occasionally,Documentation;Stack Overflow #Dask tag;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),More examples in my field,Yes,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Critical to me,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",,,4.0,I use Dask mostly on my own
2019-06-25 12:49:47,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster of 2-10 machines,"I use Dask all the time, even when I sleep",Documentation;Stack Overflow #Dask tag;Tutorial;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),New features,Yes,Somewhat useful,Critical to me,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,3.0,Hadoop / Yarn / EMR,,Networkx,3.0,My team or research group also use Dask
2019-06-25 13:53:39,DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines;Cluster with 10-100 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),Performance improvements,No,Critical to me,Critical to me,,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,3.0,SSH,Amazon Web Services (AWS);Google Cloud Platform (GCP),"Pandas, PyArrow, SKlearn, Keras, Plotly, Dash, Bokeh, Datashader",3.0,I use Dask mostly on my own
2019-06-25 14:01:36,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop,Occasionally,Documentation;pyviz's gitter channel,More documentation,Yes,Critical to me,Critical to me,Not relevant for me,Not relevant for me,Not relevant for me,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,3.0,,,Datashader,4.0,I use Dask mostly on my own
2019-06-25 14:06:00,Array;DataFrame;Futures;ML;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines,Every day,Documentation;Tutorial;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues);Youtube videos on Dask are great! ,More examples in my field,Yes,Somewhat useful,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,3.0,Hadoop / Yarn / EMR,Amazon Web Services (AWS);Google Cloud Platform (GCP);Microsoft Azure,GeoPandas to filter data to area of interest. Holoviz,4.0,I use Dask mostly on my own
2019-06-25 14:15:31,Array;DataFrame;Delayed;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Cluster with 100+ machines,Occasionally,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org;GitHub issue trackers (reading past issues),More examples in my field,No,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,Critical to me,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Not relevant for me,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",,"xarray, netcdf4, numpy, matplotlib, scipy",4.0,"Beyond my group, many people throughout my institution use Dask"
2019-06-25 14:20:52,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Large workstation,Just looking for now,Documentation;Stack Overflow #Dask tag,More examples in my field,Yes,Somewhat useful,,,Somewhat useful,,Critical to me,Critical to me,Somewhat useful,Critical to me,Critical to me,3.0,Kubernetes,Amazon Web Services (AWS),,3.0,I use Dask mostly on my own
2019-06-25 15:07:23,Array;DataFrame;ML,Batch: I submit scripts that run in the future,Cluster with 10-100 machines,Occasionally,Documentation;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Somewhat useful,Somewhat useful,Critical to me,,,,,,,,3.0,"I don't know, someone else does this for me",Amazon Web Services (AWS),,4.0,I use Dask mostly on my own
2019-06-25 15:09:58,DataFrame;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data,Cluster of 2-10 machines,Occasionally,Documentation;Tutorial;GitHub issue trackers (reading past issues);YouTube,Bug fixes,No,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,3.0,SSH,Amazon Web Services (AWS),Tensorflow,4.0,I use Dask mostly on my own
2019-06-25 15:39:48,Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Large workstation,Just looking for now,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),More examples in my field,No,Critical to me,Not relevant for me,Not relevant for me,Critical to me,Somewhat useful,Critical to me,,Somewhat useful,Not relevant for me,Not relevant for me,3.0,,,Xarray,3.0,I use Dask mostly on my own
2019-06-25 15:43:17,Delayed;ML;Distributed.,Batch: I submit scripts that run in the future,Personal laptop;Large workstation,Occasionally,Documentation;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),Bug fixes,No,Not relevant for me,Critical to me,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,3.0,SSH,Amazon Web Services (AWS);Google Cloud Platform (GCP);Microsoft Azure;many? depends.,Neuraxle,4.0,My team or research group also use Dask
2019-06-25 15:51:34,Array;DataFrame;ML;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster of 2-10 machines;Cluster with 100+ machines,Every day,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org;GitHub issue trackers (reading past issues),More documentation,Yes,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Not relevant for me,Somewhat useful,3.0,Kubernetes;helm,Amazon Web Services (AWS);Google Cloud Platform (GCP),"xarray, np, would love for a way to distribute work of rasterio functions - warp() ",3.0,My team or research group also use Dask
2019-06-25 16:18:10,DataFrame;Delayed;Futures;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster with 10-100 machines,"I use Dask all the time, even when I sleep",Documentation;Stack Overflow #Dask tag;Tutorial;GitHub issue trackers (reading past issues),,Yes,Critical to me,Somewhat useful,Not relevant for me,Not relevant for me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,3.0,Kubernetes,Amazon Web Services (AWS),"Pandas, streamz",3.0,"Beyond my group, many people throughout my institution use Dask"
2019-06-25 16:33:29,Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Cluster with 10-100 machines;Cluster with 100+ machines,Every day,Documentation;Stack Overflow #Dask tag;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),Performance improvements,Yes,Not relevant for me,Not relevant for me,Somewhat useful,Not relevant for me,Critical to me,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,3.0,Kubernetes,Google Cloud Platform (GCP),"gcsfs, numpy, pandas, tensorflow",4.0,My team or research group also use Dask
2019-06-25 16:43:44,Custom task graphs,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation;Cluster with 10-100 machines,Occasionally,Documentation;Tutorial;GitHub search for dask,More examples in my field,Yes,Somewhat useful,Not relevant for me,Not relevant for me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,3.0,Kubernetes,Amazon Web Services (AWS),ObsPy,3.0,I use Dask mostly on my own
2019-06-25 16:49:01,DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop,Every day,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,,Critical to me,3.0,"HPC resource manager (SLURM, PBS, SGE, LSF or similar)",,"Pandas, numpy, xarray",3.0,I use Dask mostly on my own
2019-06-25 18:33:00,Array;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation;Cluster with 10-100 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),More examples in my field,Yes,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,3.0,"HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Google Cloud Platform (GCP),"numpy, astropy, sunpy",4.0,I use Dask mostly on my own
2019-06-25 18:36:28,Array;Xarray,Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,Somewhat useful,Not relevant for me,Not relevant for me,3.0,,Amazon Web Services (AWS),"rasterio, xarray, gdal",4.0,I use Dask mostly on my own
2019-06-25 19:03:56,Array;DataFrame;Delayed;Futures;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster with 10-100 machines;Cluster with 100+ machines,Every day,Documentation;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,3.0,Dask jobqueue,,,3.0,"Beyond my group, many people throughout my institution use Dask"
2019-06-25 19:11:09,Array;DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Cluster of 2-10 machines,Occasionally,Documentation;Stack Overflow #Dask tag;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),More examples in my field,Yes,Somewhat useful,Somewhat useful,Critical to me,Not relevant for me,,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Critical to me,3.0,SSH,Amazon Web Services (AWS),Numba,4.0,I use Dask mostly on my own
2019-06-25 19:19:55,DataFrame;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop,Every day,Documentation;Tutorial;Examples at examples.dask.org,New features,No,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,3.0,Hadoop / Yarn / EMR,Microsoft Azure,,3.0,My team or research group also use Dask
2019-06-25 19:33:07,Array;Delayed;ML,Batch: I submit scripts that run in the future,Large workstation;Cluster with 10-100 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (raising a new issue),Performance improvements,Yes,Critical to me,,Critical to me,,,Critical to me,,,,Critical to me,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Amazon Web Services (AWS),Pytorch,4.0,My team or research group also use Dask
2019-06-25 20:07:24,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation,Occasionally,Documentation;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),Bug fixes,No,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,Critical to me,Critical to me,Critical to me,Somewhat useful,3.0,SSH;Kubernetes,Amazon Web Services (AWS);Google Cloud Platform (GCP),,2.0,My team or research group also use Dask
2019-06-25 20:16:57,Delayed;ML,Batch: I submit scripts that run in the future,Personal laptop,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org,More documentation,No,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Not relevant for me,3.0,SSH,Amazon Web Services (AWS),,4.0,I use Dask mostly on my own
2019-06-25 20:55:53,Bag;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation,Occasionally,Documentation;GitHub issue trackers (reading past issues),New features,Yes,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Critical to me,Critical to me,Critical to me,Critical to me,Somewhat useful,3.0,Kubernetes,Google Cloud Platform (GCP),toolz ,3.0,"Beyond my group, many people throughout my institution use Dask"
2019-06-25 21:06:17,Array;DataFrame;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster with 10-100 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org;GitHub issue trackers (reading past issues),More examples in my field,Yes,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Not relevant for me,Critical to me,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,3.0,"HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Google Cloud Platform (GCP),"py-ART, netcdf, hdf",4.0,My team or research group also use Dask
2019-06-25 21:37:13,Array;Bag;DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop,Occasionally,Documentation;Tutorial;Examples at examples.dask.org,Performance improvements,Yes,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Not relevant for me,3.0,,Amazon Web Services (AWS),"pandas, geopandas, holoviews, geoviews",4.0,I use Dask mostly on my own
2019-06-25 22:33:39,Array;DataFrame;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster with 100+ machines,"I use Dask all the time, even when I sleep",Documentation;Stack Overflow #Dask tag;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),New features,Yes,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Critical to me,Not relevant for me,Not relevant for me,3.0,Kubernetes;Custom Helm chart based loosely on the public dask chart,Google Cloud Platform (GCP),"pandas/numpy, gcsfs, geopandas, requests (HTTP), grpc",4.0,My team or research group also use Dask
2019-06-25 23:44:12,Array;DataFrame;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data,Cluster of 2-10 machines;Cluster with 10-100 machines,Just looking for now,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org,More documentation,Yes,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Critical to me,Critical to me,Critical to me,Not relevant for me,Somewhat useful,3.0,Kubernetes,Microsoft Azure,Bokeh,4.0,I use Dask mostly on my own
2019-06-26 00:01:31,Array;DataFrame;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation;Cluster with 10-100 machines,Occasionally,Documentation;Tutorial,Performance improvements,Yes,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Not relevant for me,Critical to me,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Amazon Web Services (AWS),Bokeh,3.0,My team or research group also use Dask
2019-06-26 01:05:40,Bag;DataFrame;Delayed,Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines,Occasionally,Documentation;GitHub issue trackers (raising a new issue);gitter,,Yes,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,3.0,,Amazon Web Services (AWS),"numpy, scipy, pandas, s3fs, pyarrow, fastparquet",4.0,I use Dask mostly on my own
2019-06-26 01:08:48,Array;DataFrame,Batch: I submit scripts that run in the future,Cluster of 2-10 machines,"I use Dask all the time, even when I sleep",Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),More examples in my field,Yes,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,,,Critical to me,3.0,SSH,I don't use cloud,"dask-cuda, cupy ",4.0,I use Dask mostly on my own
2019-06-26 01:25:34,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Large workstation,Occasionally,Tutorial;Examples at examples.dask.org,New features,Yes,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,Critical to me,3.0,,Colab,Rapidsai,4.0,I use Dask mostly on my own
2019-06-26 01:44:01,Array;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster with 10-100 machines,Every day,Documentation;Tutorial;GitHub issue trackers (reading past issues),Performance improvements,Yes,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",,astropy,4.0,I use Dask mostly on my own
2019-06-26 02:05:35,Array;Bag;DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation;Cluster with 10-100 machines,Occasionally,Documentation;Tutorial;Examples at examples.dask.org;gitter,More documentation,No,Critical to me,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Critical to me,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,2.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",,pandas pyviz django,4.0,I use Dask mostly on my own
2019-06-26 02:26:24,Array;Futures;ML;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Cluster of 2-10 machines;Cluster with 10-100 machines,Every day,Documentation;Stack Overflow #Dask tag;Tutorial;GitHub issue trackers (reading past issues),Performance improvements,Yes,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Not relevant for me,Somewhat useful,3.0,"SSH;Kubernetes;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Amazon Web Services (AWS),"NumPy, TensorFlow, Xarray, Sklearn",4.0,I use Dask mostly on my own
2019-06-26 02:32:42,Array;DataFrame;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation,Occasionally,Documentation;Tutorial;GitHub issue trackers (reading past issues),Performance improvements,Yes,Critical to me,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,3.0,,Amazon Web Services (AWS),"Numpy, pandas",3.0,I use Dask mostly on my own
2019-06-26 02:43:58,DataFrame;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Large workstation;Cluster of 2-10 machines;Cluster with 10-100 machines,Just looking for now,Documentation;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),New features,Yes,Critical to me,Somewhat useful,Critical to me,Not relevant for me,Somewhat useful,Critical to me,Critical to me,Critical to me,Somewhat useful,Critical to me,3.0,Kubernetes;My workplace has a custom solution for this,Google Cloud Platform (GCP),,2.0,I use Dask mostly on my own
2019-06-26 03:06:38,Array;DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Large workstation,Occasionally,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org;GitHub issue trackers (reading past issues),Performance improvements,Yes,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Somewhat useful,3.0,SSH;Kubernetes,Amazon Web Services (AWS),,4.0,My team or research group also use Dask
2019-06-26 03:31:05,DataFrame;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Large workstation,Just looking for now,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,3.0,,,,4.0,I use Dask mostly on my own
2019-06-26 03:54:24,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop,Just looking for now,Documentation;Tutorial;Examples at examples.dask.org;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),New features,Yes,Critical to me,Critical to me,Critical to me,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,3.0,"SSH;I don't know, someone else does this for me",Amazon Web Services (AWS);Google Cloud Platform (GCP);Microsoft Azure,"sklearn,Pytorch",3.0,I use Dask mostly on my own
2019-06-26 04:13:56,Array;Bag;DataFrame;Delayed;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation;Cluster of 2-10 machines,Occasionally,Documentation;Examples at examples.dask.org;GitHub issue trackers (reading past issues),More documentation,Yes,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Amazon Web Services (AWS),"scikit-image, xarray",4.0,My team or research group also use Dask
2019-06-26 04:15:26,DataFrame;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Large workstation;Cluster of 2-10 machines,Every day,Documentation;Examples at examples.dask.org,New features,No,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Not relevant for me,Critical to me,3.0,SSH;Kubernetes,Amazon Web Services (AWS);Google Cloud Platform (GCP),,4.0,My team or research group also use Dask
